Queries,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
Query 1,4.0,40,-5.3
Query 2,5.0,50,-1.35
Query 3,1.0,10,0.0
Query 4,4.0,40,-2.1
Query 5,3.0,30,-5.75
Query 6,2.0,20,-33.0
Query 7,6.0,60,-1.6857142857142855
Query 8,4.0,40,-2.8
Query 9,2.0,20,-49.0
Query 10,2.0,20,-4.0
Query 11,6.0,60,0.4571428571428572
Query 12,3.0,30,-16.5
Query 13,3.0,30,-3.75
Query 14,3.0,30,-19.25
Query 15,4.0,40,-1.6
Query 16,3.0,30,-11.25
Query 17,4.0,40,-1.6
Query 18,0.0,0,0.0
Query 19,3.0,30,-6.25
Query 20,0.0,0,0.0
Query 21,5.0,50,-0.44999999999999996
Query 22,1.0,10,0.0
Query 23,5.0,50,-0.10000000000000009
Query 24,2.0,20,-4.0
Query 25,2.0,20,-16.0
Query 26,4.0,40,-0.8
Query 27,4.0,40,-2.3
Query 28,5.0,50,-3.9000000000000004
Query 29,6.0,60,0.5714285714285714
Query 30,3.0,30,-4.5
Query 31,2.0,20,-25.0
Query 32,3.0,30,-21.25
Query 33,0.0,0,0.0
Query 34,4.0,40,-4.1
Query 35,2.0,20,-35.0
Query 36,4.0,40,-2.7
Query 37,1.0,10,0.0
Query 38,5.0,50,-2.05
Query 39,4.0,40,-3.9000000000000004
Query 40,3.0,30,-14.25
Query 41,7.0,70,-0.625
Query 42,2.0,20,-4.0
Query 43,2.0,20,-9.0
Query 44,5.0,50,0.44999999999999996
Query 45,3.0,30,-10.5
Query 46,5.0,50,0.7
Query 47,3.0,30,-7.5
Query 48,1.0,10,0.0
Query 49,2.0,20,-12.0
Query 50,1.0,10,0.0
Query 51,4.0,40,0.0
Query 52,1.0,10,0.0
Query 53,1.0,10,0.0
Query 54,3.0,30,-14.5
Query 55,5.0,50,-1.7000000000000002
Query 56,5.0,50,-1.65
Query 57,3.0,30,-2.5
Query 58,3.0,30,-7.75
Query 59,3.0,30,0.75
Query 60,6.0,60,0.02857142857142858
Query 61,1.0,10,0.0
Query 62,5.0,50,-1.7000000000000002
Query 63,6.0,60,0.7142857142857143
Query 64,2.0,20,1.0
Query 65,4.0,40,-1.2000000000000002
Query 66,3.0,30,-6.5
Query 67,0.0,0,0.0
Query 68,7.0,70,0.5535714285714286
Query 69,2.0,20,-7.0
Query 70,2.0,20,-3.0
Query 71,1.0,10,0.0
Query 72,3.0,30,-15.25
Query 73,2.0,20,-19.0
Query 74,4.0,40,-1.6
Query 75,5.0,50,-2.0
Query 76,3.0,30,-17.5
Query 77,3.0,30,-8.0
Query 78,1.0,10,0.0
Query 79,4.0,40,-1.7000000000000002
Query 80,2.0,20,-25.0
Query 81,2.0,20,1.0
Query 82,3.0,30,-13.75
Query 83,4.0,40,-0.8999999999999999
Query 84,2.0,20,-44.0
Query 85,5.0,50,-1.4500000000000002
Query 86,4.0,40,-1.7000000000000002
Query 87,3.0,30,-5.5
Query 88,2.0,20,-8.0
Query 89,5.0,50,-0.8
Query 90,1.0,10,0.0
Query 91,3.0,30,-25.75
Query 92,6.0,60,-0.7714285714285714
Query 93,6.0,60,0.7142857142857143
Query 94,2.0,20,-25.0
Query 95,3.0,30,-6.25
Query 96,8.0,80,-0.30952380952380953
Query 97,1.0,10,0.0
Query 98,3.0,30,-5.25
Query 99,5.0,50,-1.4500000000000002
Query 100,2.0,20,-84.0
Averages,3.22,32.2,-7.046023809523811
